SubCategoryID,CategoryID,Name
23484.0,10076,Sáo Trúc- Sáo Tiêu - Sáo Dizi
23494.0,10076,Trống dân tộc - Trống hội
23492.0,10076,Đàn đáy - Cồng chiêng
23480.0,10076,Đàn nguyệt
23486.0,10076,Đàn T'rưng
23490.0,10076,Đàn tam - Đàn tứ
23488.0,10076,Đàn tam thập lục
23496.0,10076,Đàn tính
68336.0,10076,Đàn Madolin
23506.0,10074,Kèn & Phụ kiện
23504.0,10074,Trống & Phụ kiện
23498.0,10074,Phụ kiện cho Nhạc cụ hơi
68344.0,10074,Kèn Cor-French Horn
68345.0,10074,Kèn Harmonica
68346.0,10074,Kèn Melodion - Pianica
68347.0,10074,Kèn Trombone
68348.0,10074,Kèn Saxophone
68349.0,10074,Kèn Trumpet
68350.0,10074,Sáo Flute
68351.0,10074,Sáo Recorder
68503.0,10074,Kèn Clarinet
68504.0,10074,Đàn Accordion - Phong Cầm
23554.0,23552,Dây cáp
23564.0,23552,Chân micro
23566.0,23552,Chân loa
23568.0,23552,Chân đèn sân khấu
23528.0,23552,Phụ kiện nhạc cụ khác
,10073,
68284.0,68289,Acoustic Amplifier
68292.0,68289,Bass Amplifier
68297.0,68289,Electric Amplifier
68298.0,68289,Moniter Amplifier
68299.0,68289,Portable Audio
68305.0,68304,Bộ gõ
68306.0,68304,Phụ kiện cho Trống
68310.0,68304,Trống bộ
68311.0,68304,Trống Cajon
68312.0,68304,Trống Congo - Bonga
